160626_video_above,898,0.338,0.031,0.622,0.452,11,13
160626_video_above,898,0.336,0.0,0.614,0.138,1,14
160626_video_above,898,0.459,0.848,0.805,0.998,1,15
160626_video_above,898,0.056,0.498,0.316,0.812,1,16
160626_video_above,898,0.028,0.517,0.302,0.9,1,17
160626_video_above,899,0.25,0.556,0.478,1.0,1,1
160626_video_above,899,0.35,0.392,0.631,0.706,1,6
160626_video_above,899,0.022,0.046,0.383,0.575,1,11
160626_video_above,899,0.366,0.05,0.616,0.45,11,13
160626_video_above,899,0.334,0.0,0.605,0.138,1,14
160626_video_above,899,0.464,0.846,0.816,0.998,1,15
160626_video_above,899,0.083,0.429,0.341,0.785,1,16
160626_video_above,899,0.053,0.519,0.303,0.856,1,17
160626_video_above,900,0.248,0.602,0.48,0.998,1,1
160626_video_above,900,0.369,0.385,0.639,0.719,1,6
160626_video_above,900,0.02,0.044,0.394,0.585,1,11
160626_video_above,900,0.278,0.056,0.613,0.54,11,13
160626_video_above,900,0.333,0.0,0.595,0.14,1,14
160626_video_above,900,0.469,0.842,0.827,0.998,1,15
160626_video_above,900,0.109,0.36,0.367,0.76,1,16
160626_video_above,900,0.059,0.523,0.3,0.819,1,17
160626_video_above,901,0.252,0.615,0.481,1.0,1,1
160626_video_above,901,0.388,0.383,0.639,0.727,1,6
160626_video_above,901,0.017,0.044,0.406,0.594,1,11
160626_video_above,901,0.252,0.06,0.613,0.483,11,13
160626_video_above,901,0.311,0.0,0.597,0.123,1,14
160626_video_above,901,0.473,0.838,0.838,0.998,1,15
160626_video_above,901,0.136,0.29,0.392,0.733,1,16
160626_video_above,901,0.055,0.519,0.298,0.885,1,17
160626_video_above,902,0.258,0.617,0.483,1.0,1,1
160626_video_above,902,0.405,0.373,0.652,0.719,1,6
160626_video_above,902,0.014,0.042,0.417,0.604,1,11
160626_video_above,902,0.23,0.05,0.613,0.567,11,13
160626_video_above,902,0.32,0.0,0.6,0.123,1,14
160626_video_above,902,0.478,0.833,0.848,0.998,1,15
160626_video_above,902,0.163,0.221,0.417,0.708,1,16
160626_video_above,902,0.056,0.523,0.3,0.844,1,17
160626_video_above,903,0.263,0.625,0.487,1.0,1,1
160626_video_above,903,0.381,0.356,0.639,0.723,1,6
160626_video_above,903,0.013,0.042,0.428,0.613,1,11
160626_video_above,903,0.306,0.01,0.616,0.554,11,13
160626_video_above,903,0.33,0.0,0.605,0.123,1,14
160626_video_above,903,0.483,0.829,0.859,0.998,1,15
160626_video_above,903,0.189,0.152,0.442,0.681,1,16
160626_video_above,903,0.056,0.523,0.302,0.848,1,17
160626_video_above,904,0.263,0.627,0.489,1.0,1,1
160626_video_above,904,0.386,0.338,0.636,0.723,1,6
160626_video_above,904,0.009,0.04,0.441,0.623,1,11
160626_video_above,904,0.367,0.004,0.653,0.479,1,13
160626_video_above,904,0.339,0.0,0.609,0.123,1,14
160626_video_above,904,0.486,0.827,0.87,0.998,1,15
