160423_video_above,1276,0.236,0.608,0.527,0.998,13,25
160423_video_above,1276,0.305,0.135,0.619,0.444,1,26
160423_video_above,1277,0.309,0.221,0.619,0.708,1,14
160423_video_above,1277,0.062,0.352,0.312,0.675,1,20
160423_video_above,1277,0.53,0.015,0.825,0.419,1,21
160423_video_above,1277,0.234,0.531,0.516,0.998,13,25
160423_video_above,1277,0.309,0.194,0.616,0.477,1,26
160423_video_above,1278,0.303,0.223,0.62,0.694,1,14
160423_video_above,1278,0.067,0.35,0.308,0.646,1,20
160423_video_above,1278,0.525,0.013,0.822,0.421,1,21
160423_video_above,1278,0.233,0.49,0.516,0.998,13,25
160423_video_above,1278,0.316,0.219,0.616,0.529,1,26
160423_video_above,1279,0.298,0.219,0.62,0.688,1,14
160423_video_above,1279,0.075,0.329,0.322,0.635,1,20
160423_video_above,1279,0.519,0.013,0.817,0.423,1,21
160423_video_above,1279,0.228,0.469,0.512,0.998,13,25
160423_video_above,1279,0.316,0.252,0.619,0.567,1,26
160423_video_above,1280,0.297,0.225,0.622,0.692,1,14
160423_video_above,1280,0.062,0.335,0.303,0.644,1,20
160423_video_above,1280,0.514,0.01,0.814,0.425,1,21
160423_video_above,1280,0.225,0.483,0.516,1.0,13,25
160423_video_above,1280,0.317,0.285,0.62,0.602,1,26
160423_video_above,1281,0.338,0.225,0.623,0.692,1,14
160423_video_above,1281,0.033,0.34,0.273,0.633,1,20
160423_video_above,1281,0.509,0.01,0.809,0.427,1,21
160423_video_above,1281,0.231,0.544,0.519,1.0,13,25
160423_video_above,1281,0.317,0.317,0.623,0.637,1,26
160423_video_above,1281,0.0,0.756,0.247,1.0,1,27
160423_video_above,1282,0.311,0.225,0.623,0.692,1,14
160423_video_above,1282,0.011,0.331,0.245,0.606,1,20
160423_video_above,1282,0.505,0.01,0.805,0.429,1,21
160423_video_above,1282,0.237,0.56,0.523,1.0,13,25
160423_video_above,1282,0.319,0.35,0.625,0.675,1,26
